split,t0
train,20200001
train,20200007
train,20200013
train,20200019
train,20200025
train,20200031
train,20200037
train,20200043
train,20200049
train,20200055
train,20200061
train,20200067
train,20200073
train,20200079
train,20200085
train,20200091
train,20200097
train,20200103
train,20200109
train,20200115
train,20200121
train,20200127
train,20200133
train,20200139
train,20200145
train,20200151
train,20200157
train,20200163
train,20200169
train,20200175
train,20200181
train,20200187
train,20200193
train,20200199
train,20200205
train,20200211
train,20200217
train,20200223
train,20200229
train,20200235
train,20200241
train,20200247
train,20200253
train,20200259
train,20200265
train,20200271
train,20200277
train,20200283
train,20200289
train,20200295
train,20200301
train,20200307
train,20200313
train,20200319
train,20200325
train,20200331
train,20200337
train,20200343
train,20200349
train,20200355
train,20200361
train,20200367
train,20200373
train,20200379
train,20200385
train,20200391
train,20200397
train,20200403
train,20200409
train,20200415
train,20200421
train,20200427
train,20200433
train,20200439
train,20200445
train,20200451
train,20200457
train,20200463
train,20200469
train,20200475
train,20200481
train,20200487
train,20200493
train,20200499
train,20200505
train,20200511
train,20200517
train,20200523
train,20200529
train,20200535
train,20200541
train,20200547
train,20200553
train,20200559
train,20200565
train,20200571
train,20200577
train,20200583
train,20200589
train,20200595
train,20200601
train,20200607
train,20200613
train,20200619
train,20200625
train,20200631
train,20200637
train,20200643
train,20200649
train,20200655
train,20200661
train,20200667
train,20200673
train,20200679
train,20200685
train,20200691
train,20200697
train,20200703
train,20200709
train,20200715
train,20200721
train,20200727
train,20200733
train,20200739
train,20200745
train,20200751
train,20200757
train,20200763
train,20200769
train,20200775
train,20200781
train,20200787
train,20200793
train,20200799
train,20200805
train,20200811
train,20200817
train,20200823
train,20200829
train,20200835
train,20200841
train,20200847
train,20200853
train,20200859
train,20200865
train,20200871
train,20200877
train,20200883
train,20200889
train,20200895
train,20200901
train,20200907
train,20200913
train,20200919
train,20200925
train,20200931
train,20200937
train,20200943
train,20200949
train,20200955
train,20200961
train,20200967
train,20200973
train,20200979
train,20200985
train,20200991
train,20200997
train,20201003
train,20201009
train,20201015
train,20201021
train,20201027
