split,t0
train,20210001
train,20210007
train,20210013
train,20210019
train,20210025
train,20210031
train,20210037
train,20210043
train,20210049
train,20210055
train,20210061
train,20210067
train,20210073
train,20210079
train,20210085
train,20210091
train,20210097
train,20210103
train,20210109
train,20210115
train,20210121
train,20210127
train,20210133
train,20210139
train,20210145
train,20210151
train,20210157
train,20210163
train,20210169
train,20210175
train,20210181
train,20210187
train,20210193
train,20210199
train,20210205
train,20210211
train,20210217
train,20210223
train,20210229
train,20210235
train,20210241
train,20210247
train,20210253
train,20210259
train,20210265
train,20210271
train,20210277
train,20210283
train,20210289
train,20210295
train,20210301
train,20210307
train,20210313
train,20210319
train,20210325
train,20210331
train,20210337
train,20210343
train,20210349
train,20210355
train,20210361
train,20210367
train,20210373
train,20210379
train,20210385
train,20210391
train,20210397
train,20210403
train,20210409
train,20210415
train,20210421
train,20210427
train,20210433
train,20210439
train,20210445
train,20210451
train,20210457
train,20210463
train,20210469
train,20210475
train,20210481
train,20210487
train,20210493
train,20210499
train,20210505
train,20210511
train,20210517
train,20210523
train,20210529
train,20210535
train,20210541
train,20210547
train,20210553
train,20210559
train,20210565
train,20210571
train,20210577
train,20210583
train,20210589
train,20210595
train,20210601
train,20210607
train,20210613
train,20210619
train,20210625
train,20210631
train,20210637
train,20210643
train,20210649
train,20210655
train,20210661
train,20210667
train,20210673
train,20210679
train,20210685
train,20210691
train,20210697
train,20210703
train,20210709
train,20210715
train,20210721
train,20210727
train,20210733
train,20210739
train,20210745
train,20210751
train,20210757
train,20210763
train,20210769
train,20210775
train,20210781
train,20210787
train,20210793
train,20210799
train,20210805
train,20210811
train,20210817
train,20210823
train,20210829
train,20210835
train,20210841
train,20210847
train,20210853
train,20210859
train,20210865
train,20210871
train,20210877
train,20210883
train,20210889
train,20210895
train,20210901
train,20210907
train,20210913
train,20210919
train,20210925
train,20210931
train,20210937
train,20210943
train,20210949
train,20210955
train,20210961
train,20210967
train,20210973
train,20210979
train,20210985
train,20210991
train,20210997
train,20211003
train,20211009
train,20211015
train,20211021
train,20211027
train,20211033
train,20211039
train,20211045
train,20211051
train,20211057
train,20211063
train,20211069
train,20211075
train,20211081
train,20211087
train,20211093
train,20211099
train,20211105
train,20211111
train,20211117
train,20211123
train,20211129
train,20211135
train,20211141
train,20211147
train,20211153
train,20211159
train,20211165
train,20211171
train,20211177
train,20211183
train,20211189
train,20211195
train,20211201
train,20211207
train,20211213
train,20211219
train,20211225
train,20211231
train,20211237
train,20211243
train,20211249
train,20211255
train,20211261
train,20211267
train,20211273
train,20211279
train,20211285
train,20211291
train,20211297
train,20211303
train,20211309
train,20211315
train,20211321
train,20211327
train,20211333
train,20211339
train,20211345
train,20211351
train,20211357
train,20211363
train,20211369
train,20211375
train,20211381
train,20211387
train,20211393
train,20211399
train,20211405
train,20211411
train,20211417
train,20211423
train,20211429
train,20211435
train,20211441
train,20211447
train,20211453
train,20211459
train,20211465
train,20211471
train,20211477
train,20211483
train,20211489
train,20211495
train,20211501
train,20211507
train,20211513
train,20211519
train,20211525
train,20211531
train,20211537
train,20211543
train,20211549
train,20211555
train,20211561
train,20211567
train,20211573
train,20211579
train,20211585
train,20211591
train,20211597
train,20211603
train,20211609
train,20211615
train,20211621
train,20211627
train,20211633
train,20211639
train,20211645
train,20211651
train,20211657
train,20211663
train,20211669
train,20211675
train,20211681
train,20211687
train,20211693
train,20211699
train,20211705
train,20211711
train,20211717
train,20211723
train,20211729
train,20211735
train,20211741
train,20211747
train,20211753
train,20211759
train,20211765
train,20211771
train,20211777
train,20211783
train,20211789
train,20211795
train,20211801
train,20211807
train,20211813
train,20211819
train,20211825
train,20211831
train,20211837
train,20211843
train,20211849
train,20211855
train,20211861
train,20211867
train,20211873
train,20211879
train,20211885
train,20211891
train,20211897
train,20211903
train,20211909
train,20211915
train,20211921
train,20211927
train,20211933
train,20211939
train,20211945
train,20211951
train,20211957
train,20211963
train,20211969
train,20211975
train,20211981
train,20211987
train,20211993
train,20211999
train,20212005
train,20212011
train,20212017
train,20212023
train,20212029
train,20212035
train,20212041
train,20212047
train,20212053
train,20212059
train,20212065
train,20212071
train,20212077
train,20212083
train,20212089
train,20212095
train,20212101
train,20212107
train,20212113
train,20212119
train,20212125
train,20212131
train,20212137
train,20212143
train,20212149
train,20212155
train,20212161
train,20212167
train,20212173
train,20212179
train,20212185
train,20212191
train,20212197
train,20212203
train,20212209
train,20212215
train,20212221
train,20212227
train,20212233
train,20212239
train,20212245
train,20212251
train,20212257
train,20212263
train,20212269
train,20212275
train,20212281
train,20212287
train,20212293
train,20212299
train,20212305
train,20212311
train,20212317
train,20212323
train,20212329
train,20212335
train,20212341
train,20212347
train,20212353
train,20212359
train,20212365
train,20212371
train,20212377
train,20212383
train,20212389
train,20212395
train,20212401
train,20212407
train,20212413
train,20212419
train,20212425
train,20212431
train,20212437
train,20212443
train,20212449
train,20212455
train,20212461
train,20212467
train,20212473
train,20212479
train,20212485
train,20212491
train,20212497
train,20212503
train,20212509
train,20212515
train,20212521
train,20212527
train,20212533
train,20212539
train,20212545
train,20212551
train,20212557
train,20212563
train,20212569
train,20212575
train,20212581
train,20212587
train,20212593
train,20212599
train,20212605
train,20212611
train,20212617
train,20212623
train,20212629
train,20212635
train,20212641
train,20212647
train,20212653
train,20212659
train,20212665
train,20212671
train,20212677
train,20212683
train,20212689
train,20212695
train,20212701
train,20212707
train,20212713
train,20212719
train,20212725
train,20212731
train,20212737
train,20212743
train,20212749
train,20212755
train,20212761
train,20212767
train,20212773
train,20212779
train,20212785
train,20212791
train,20212797
train,20212803
train,20212809
train,20212815
train,20212821
train,20212827
train,20212833
train,20212839
train,20212845
train,20212851
train,20212857
train,20212863
train,20212869
train,20212875
train,20212881
train,20212887
train,20212893
train,20212899
train,20212905
train,20212911
train,20212917
train,20212923
train,20212929
train,20212935
train,20212941
train,20212947
train,20212953
train,20212959
train,20212965
train,20212971
train,20212977
train,20212983
train,20212989
train,20212995
train,20213001
train,20213007
train,20213013
train,20213019
train,20213025
train,20213031
train,20213037
train,20213043
train,20213049
train,20213055
train,20213061
train,20213067
train,20213073
train,20213079
train,20213085
train,20213091
train,20213097
train,20213103
train,20213109
train,20213115
train,20213121
train,20213127
train,20213133
train,20213139
train,20213145
train,20213151
train,20213157
train,20213163
