split,t0
train,20200001
train,20200007
train,20200013
train,20200019
train,20200025
train,20200031
train,20200037
train,20200043
train,20200049
train,20200055
train,20200061
train,20200067
train,20200073
train,20200079
train,20200085
train,20200091
train,20200157
train,20200163
train,20200169
train,20200175
train,20200181
train,20200187
train,20200193
train,20200199
train,20200205
train,20200211
train,20200217
train,20200223
train,20200229
train,20200235
train,20200241
train,20200247
train,20200289
train,20200295
train,20200301
train,20200307
train,20200313
train,20200319
train,20200325
train,20200331
train,20200337
train,20200343
train,20200349
train,20200355
train,20200361
train,20200367
train,20200373
train,20200379
train,20200385
train,20200391
train,20200397
train,20200403
train,20200409
train,20200415
train,20200421
train,20200427
train,20200433
train,20200439
train,20200445
train,20200451
train,20200457
train,20200463
train,20200469
train,20200475
train,20200481
train,20200487
train,20200493
train,20200499
train,20200601
train,20200607
train,20200613
train,20200619
train,20200655
train,20200661
train,20200667
train,20200673
train,20200679
train,20200685
train,20200691
train,20200697
train,20200703
train,20200709
train,20200715
train,20200721
train,20200727
train,20200733
train,20200739
train,20200745
train,20200751
train,20200757
train,20200763
train,20200793
train,20200799
train,20200805
train,20200811
train,20200817
train,20200823
train,20200829
train,20200835
train,20200841
train,20200847
train,20200853
train,20200859
train,20200865
train,20200871
train,20200877
train,20200883
train,20200889
train,20200895
train,20200901
train,20200907
train,20200913
train,20200919
train,20200925
train,20200931
train,20200937
train,20200943
train,20200949
train,20200955
train,20200961
train,20200967
train,20200973
train,20200979
train,20200985
train,20200991
train,20200997
train,20201003
train,20201009
train,20201015
train,20201021
train,20201027
train,20201033
train,20201039
train,20201045
train,20201051
train,20201057
train,20201063
train,20201069
train,20201075
train,20201081
train,20201087
train,20201093
train,20201099
train,20201105
train,20201111
train,20201117
train,20201123
train,20201147
train,20201153
train,20201159
train,20201165
train,20201171
train,20201177
train,20201183
train,20201189
train,20201195
train,20201201
train,20201207
train,20201213
train,20201219
train,20201225
train,20201231
train,20201237
train,20201243
train,20201249
train,20201255
train,20201261
train,20201267
train,20201273
train,20201279
train,20201285
train,20201291
