split,t0
train,20201891
train,20201897
train,20201987
train,20202755
train,20202761
train,20202767
train,20202773
train,20202803
train,20202977
train,20202995
train,20203001
train,20203007
train,20203013
train,20203049
train,20203085
train,20203187
train,20203259
train,20203265
train,20203271
train,20203277
train,20203283
train,20203289
train,20203301
train,20203619
train,20203625
train,20203691
train,20203697
train,20203703
train,20203709
train,20203721
train,20203727
train,20203775
train,20203829
train,20203835
train,20203841
train,20203847
train,20203937
train,20204051
train,20204057
train,20204063
train,20204069
train,20204141
train,20204147
train,20204153
train,20204159
train,20204201
train,20204255
train,20204261
train,20204267
train,20204273
train,20204279
train,20204285
train,20204309
train,20204369
train,20204405
train,20204411
train,20204417
train,20204423
train,20204429
train,20204435
train,20204441
train,20204447
train,20204453
train,20204465
train,20204471
train,20204477
train,20204483
train,20204609
train,20204633
train,20204939
train,20205107
train,20205137
train,20205299
train,20205305
train,20205311
train,20205317
train,20205323
train,20205341
train,20205359
train,20205455
train,20205467
train,20205557
train,20205569
train,20205575
train,20205581
train,20205587
train,20205593
train,20205599
train,20205605
train,20205611
train,20205677
train,20205683
train,20205689
train,20205695
train,20205701
train,20205707
train,20205773
train,20205815
train,20205821
train,20205827
train,20205833
train,20205845
train,20205851
train,20205857
train,20205863
train,20205869
train,20205875
train,20205881
train,20205929
train,20205941
train,20205947
train,20205953
train,20205959
train,20205965
train,20205971
train,20205977
train,20205983
train,20205989
train,20205995
train,20206001
train,20206007
train,20206013
train,20206019
train,20206025
train,20206031
train,20206037
train,20206043
train,20206049
train,20206421
train,20206427
train,20206433
train,20206439
train,20206457
train,20206589
train,20206601
train,20206637
train,20206649
train,20206751
train,20206757
train,20207237
train,20207273
train,20207345
train,20207381
train,20207405
train,20207411
train,20207417
train,20207423
train,20207717
train,20207723
train,20207753
train,20207759
train,20207789
train,20207849
train,20207885
train,20207891
train,20207909
train,20207915
train,20207921
train,20207927
train,20208125
train,20208149
train,20208155
train,20208161
train,20208167
train,20208191
train,20208197
train,20208203
train,20208209
train,20208215
train,20208269
train,20208293
train,20208299
train,20208305
train,20208311
train,20208389
train,20208425
train,20208437
train,20208443
train,20208557
train,20208563
train,20208569
train,20208575
train,20208605
train,20208665
train,20208671
train,20208677
train,20208683
train,20208689
train,20210295
train,20210649
train,20210673
train,20210679
train,20211741
train,20212701
train,20213115
train,20213133
train,20213139
train,20213145
train,20213151
train,20213157
train,20213163
train,20213169
train,20213175
train,20213511
train,20213523
train,20213529
train,20213535
train,20213541
train,20213667
train,20213715
train,20213721
train,20213727
train,20213733
train,20213739
train,20213745
train,20213751
train,20214447
train,20214507
train,20214693
train,20214699
train,20214705
train,20214711
train,20214729
train,20214759
train,20214777
train,20214783
train,20214789
train,20214795
train,20214801
train,20214807
train,20214813
train,20215017
train,20215023
train,20215149
train,20215155
train,20215161
train,20215167
train,20215317
train,20215353
train,20215437
train,20215455
train,20215461
train,20215467
train,20215473
train,20215479
train,20215485
train,20215491
train,20215497
train,20215503
train,20215569
train,20215701
train,20215713
train,20215725
train,20215749
train,20215755
train,20215761
train,20215767
train,20215779
train,20215785
train,20215791
train,20215797
train,20215803
train,20215821
train,20215827
train,20215833
train,20215839
train,20215875
train,20215881
train,20215887
train,20215893
train,20215899
train,20215905
train,20216097
train,20216325
train,20216331
train,20216337
train,20216343
train,20216349
train,20216469
train,20216475
train,20216481
train,20216493
train,20216499
train,20216505
train,20216901
train,20216985
train,20216997
train,20217033
train,20217039
train,20217237
train,20217243
train,20217357
train,20217363
train,20217369
train,20217375
train,20217381
train,20217387
train,20217393
train,20217417
train,20217429
train,20217441
train,20217453
train,20217459
train,20217465
train,20217471
train,20217501
train,20217507
train,20217513
train,20217597
train,20217657
train,20217705
train,20217717
train,20217729
train,20218077
train,20218149
train,20218485
train,20218497
train,20218533
train,20218545
train,20218551
train,20218557
train,20218563
train,20218569
train,20218575
