split,t0
train,20210295
train,20210301
train,20210307
train,20210313
train,20210319
train,20210649
train,20210655
train,20210661
train,20210667
train,20210673
train,20210679
train,20211087
train,20211093
train,20211099
train,20211105
train,20211225
train,20211231
train,20211741
train,20211747
train,20211753
train,20211759
train,20211765
train,20211771
train,20211777
train,20212677
train,20212683
train,20212689
train,20212695
train,20212701
train,20212707
train,20213115
train,20213121
train,20213127
train,20213133
train,20213139
train,20213145
train,20213151
train,20213157
train,20213163
train,20213169
train,20213175
train,20213511
train,20213517
train,20213523
train,20213529
train,20213535
train,20213541
train,20213547
train,20213613
train,20213619
train,20213625
train,20213667
train,20213673
train,20213679
train,20213685
train,20213691
train,20213697
train,20213703
train,20213709
train,20213715
train,20213721
train,20213727
train,20213733
train,20213739
train,20213745
train,20213751
train,20213811
train,20213817
train,20213823
train,20213829
train,20213835
train,20213841
train,20213847
train,20213853
train,20214087
train,20214093
train,20214099
train,20214105
train,20214429
train,20214435
train,20214441
train,20214447
train,20214507
train,20214513
train,20214519
train,20214525
train,20214531
train,20214537
train,20214561
train,20214567
train,20214651
train,20214657
train,20214663
train,20214669
train,20214675
train,20214681
train,20214687
train,20214693
train,20214699
train,20214705
train,20214711
train,20214717
train,20214723
train,20214729
train,20214759
train,20214765
train,20214771
train,20214777
train,20214783
train,20214789
train,20214795
train,20214801
train,20214807
train,20214813
train,20214897
train,20214903
train,20214909
train,20214915
train,20214921
train,20214927
train,20214933
train,20214939
train,20214945
train,20214951
train,20214957
train,20214963
train,20214969
train,20214975
train,20214981
train,20214987
train,20214993
train,20214999
train,20215005
train,20215011
train,20215017
train,20215023
train,20215107
train,20215113
train,20215119
train,20215125
train,20215131
train,20215137
train,20215143
train,20215149
train,20215155
train,20215161
train,20215167
train,20215215
train,20215221
train,20215227
train,20215233
train,20215239
train,20215245
train,20215251
train,20215257
train,20215263
train,20215269
train,20215275
train,20215281
train,20215317
train,20215323
train,20215329
train,20215335
train,20215341
train,20215347
train,20215353
train,20215359
train,20215437
train,20215443
train,20215449
train,20215455
train,20215461
train,20215467
train,20215473
train,20215479
train,20215485
train,20215491
train,20215497
train,20215503
train,20215509
train,20215515
train,20215521
train,20215527
train,20215533
train,20215539
train,20215545
train,20215551
train,20215557
train,20215563
train,20215569
train,20215617
train,20215623
train,20215629
train,20215701
train,20215707
train,20215713
train,20215719
train,20215725
train,20215731
train,20215737
train,20215743
train,20215749
train,20215755
train,20215761
train,20215767
train,20215773
train,20215779
train,20215785
train,20215791
train,20215797
train,20215803
train,20215809
train,20215815
train,20215821
train,20215827
train,20215833
train,20215839
train,20215845
train,20215851
train,20215857
train,20215863
train,20215869
train,20215875
train,20215881
train,20215887
train,20215893
train,20215899
train,20215905
train,20216043
train,20216049
train,20216055
train,20216061
train,20216067
train,20216073
train,20216079
train,20216085
train,20216091
train,20216097
train,20216103
train,20216295
train,20216301
train,20216307
train,20216313
train,20216319
train,20216325
train,20216331
train,20216337
train,20216343
train,20216349
train,20216355
train,20216361
train,20216367
train,20216373
train,20216379
train,20216385
train,20216391
train,20216397
train,20216403
train,20216409
train,20216415
train,20216445
train,20216451
train,20216457
train,20216463
train,20216469
train,20216475
train,20216481
train,20216487
train,20216493
train,20216499
train,20216505
train,20216511
train,20216517
train,20216523
train,20216529
train,20216535
train,20216541
train,20216547
train,20216553
train,20216559
train,20216565
train,20216571
train,20216901
train,20216907
train,20216913
train,20216919
train,20216925
train,20216931
train,20216937
train,20216973
train,20216979
train,20216985
train,20216991
train,20216997
train,20217003
train,20217009
train,20217015
train,20217021
train,20217027
train,20217033
train,20217039
train,20217237
train,20217243
train,20217249
train,20217255
train,20217261
train,20217327
train,20217333
train,20217339
train,20217345
train,20217351
train,20217357
train,20217363
train,20217369
train,20217375
train,20217381
train,20217387
train,20217393
train,20217399
train,20217405
train,20217411
train,20217417
train,20217423
train,20217429
train,20217435
train,20217441
train,20217447
train,20217453
train,20217459
train,20217465
train,20217471
train,20217477
train,20217483
train,20217489
train,20217495
train,20217501
train,20217507
train,20217513
train,20217519
train,20217525
train,20217531
train,20217537
train,20217561
train,20217567
train,20217597
train,20217603
train,20217609
train,20217615
train,20217621
train,20217627
train,20217633
train,20217639
train,20217645
train,20217651
train,20217657
train,20217663
train,20217669
train,20217675
train,20217681
train,20217687
train,20217693
train,20217699
train,20217705
train,20217711
train,20217717
train,20217723
train,20217729
train,20217735
train,20217909
train,20217915
train,20218071
train,20218077
train,20218083
train,20218089
train,20218095
train,20218149
train,20218155
train,20218161
train,20218167
train,20218173
train,20218179
train,20218185
train,20218197
train,20218215
train,20218485
train,20218491
train,20218497
train,20218503
train,20218533
train,20218539
train,20218545
train,20218551
train,20218557
train,20218563
train,20218569
train,20218575
train,20218713
train,20218719
train,20218725
train,20218731
