split,t0
train,20200517
train,20200523
train,20200529
train,20200535
train,20201879
train,20201885
train,20201891
train,20201897
train,20201987
train,20201993
train,20201999
train,20202005
train,20202437
train,20202443
train,20202755
train,20202761
train,20202767
train,20202773
train,20202779
train,20202785
train,20202791
train,20202797
train,20202803
train,20202977
train,20202983
train,20202989
train,20202995
train,20203001
train,20203007
train,20203013
train,20203019
train,20203049
train,20203055
train,20203061
train,20203067
train,20203073
train,20203079
train,20203085
train,20203187
train,20203193
train,20203199
train,20203205
train,20203211
train,20203217
train,20203223
train,20203229
train,20203235
train,20203241
train,20203247
train,20203253
train,20203259
train,20203265
train,20203271
train,20203277
train,20203283
train,20203289
train,20203295
train,20203301
train,20203619
train,20203625
train,20203631
train,20203637
train,20203673
train,20203679
train,20203685
train,20203691
train,20203697
train,20203703
train,20203709
train,20203715
train,20203721
train,20203727
train,20203775
train,20203781
train,20203787
train,20203793
train,20203799
train,20203805
train,20203811
train,20203817
train,20203823
train,20203829
train,20203835
train,20203841
train,20203847
train,20203883
train,20203889
train,20203895
train,20203901
train,20203907
train,20203913
train,20203919
train,20203925
train,20203931
train,20203937
train,20204015
train,20204021
train,20204027
train,20204033
train,20204039
train,20204045
train,20204051
train,20204057
train,20204063
train,20204069
train,20204075
train,20204141
train,20204147
train,20204153
train,20204159
train,20204165
train,20204171
train,20204177
train,20204183
train,20204189
train,20204195
train,20204201
train,20204207
train,20204249
train,20204255
train,20204261
train,20204267
train,20204273
train,20204279
train,20204285
train,20204309
train,20204315
train,20204321
train,20204327
train,20204333
train,20204339
train,20204345
train,20204351
train,20204357
train,20204363
train,20204369
train,20204393
train,20204399
train,20204405
train,20204411
train,20204417
train,20204423
train,20204429
train,20204435
train,20204441
train,20204447
train,20204453
train,20204459
train,20204465
train,20204471
train,20204477
train,20204483
train,20204489
train,20204609
train,20204615
train,20204621
train,20204627
train,20204633
train,20204843
train,20204849
train,20204855
train,20204861
train,20204867
train,20204873
train,20204879
train,20204885
train,20204891
train,20204897
train,20204903
train,20204909
train,20204915
train,20204921
train,20204927
train,20204933
train,20204939
train,20205101
train,20205107
train,20205113
train,20205119
train,20205125
train,20205131
train,20205137
train,20205299
train,20205305
train,20205311
train,20205317
train,20205323
train,20205329
train,20205341
train,20205347
train,20205353
train,20205359
train,20205443
train,20205449
train,20205455
train,20205461
train,20205467
train,20205473
train,20205479
train,20205485
train,20205491
train,20205497
train,20205503
train,20205509
train,20205515
train,20205521
train,20205527
train,20205557
train,20205563
train,20205569
train,20205575
train,20205581
train,20205587
train,20205593
train,20205599
train,20205605
train,20205611
train,20205677
train,20205683
train,20205689
train,20205695
train,20205701
train,20205707
train,20205773
train,20205779
train,20205785
train,20205791
train,20205797
train,20205803
train,20205809
train,20205815
train,20205821
train,20205827
train,20205833
train,20205839
train,20205845
train,20205851
train,20205857
train,20205863
train,20205869
train,20205875
train,20205881
train,20205887
train,20205893
train,20205899
train,20205905
train,20205911
train,20205917
train,20205923
train,20205929
train,20205935
train,20205941
train,20205947
train,20205953
train,20205959
train,20205965
train,20205971
train,20205977
train,20205983
train,20205989
train,20205995
train,20206001
train,20206007
train,20206013
train,20206019
train,20206025
train,20206031
train,20206037
train,20206043
train,20206049
train,20206055
train,20206061
train,20206067
train,20206073
train,20206079
train,20206409
train,20206415
train,20206421
train,20206427
train,20206433
train,20206439
train,20206445
train,20206451
train,20206457
train,20206583
train,20206589
train,20206595
train,20206601
train,20206607
train,20206631
train,20206637
train,20206643
train,20206649
train,20206751
train,20206757
train,20206763
train,20206769
train,20206775
train,20206781
train,20206787
train,20206793
train,20206799
train,20207237
train,20207243
train,20207249
train,20207255
train,20207261
train,20207267
train,20207273
train,20207279
train,20207303
train,20207309
train,20207315
train,20207321
train,20207327
train,20207333
train,20207339
train,20207345
train,20207351
train,20207381
train,20207387
train,20207393
train,20207399
train,20207405
train,20207411
train,20207417
train,20207423
train,20207561
train,20207567
train,20207573
train,20207579
train,20207585
train,20207591
train,20207597
train,20207603
train,20207717
train,20207723
train,20207729
train,20207735
train,20207741
train,20207747
train,20207753
train,20207759
train,20207789
train,20207795
train,20207801
train,20207807
train,20207813
train,20207819
train,20207825
train,20207831
train,20207837
train,20207843
train,20207849
train,20207885
train,20207891
train,20207897
train,20207903
train,20207909
train,20207915
train,20207921
train,20207927
train,20208125
train,20208131
train,20208137
train,20208143
train,20208149
train,20208155
train,20208161
train,20208167
train,20208173
train,20208179
train,20208185
train,20208191
train,20208197
train,20208203
train,20208209
train,20208215
train,20208221
train,20208227
train,20208233
train,20208239
train,20208245
train,20208251
train,20208269
train,20208275
train,20208281
train,20208287
train,20208293
train,20208299
train,20208305
train,20208311
train,20208389
train,20208395
train,20208401
train,20208407
train,20208413
train,20208419
train,20208425
train,20208431
train,20208437
train,20208443
train,20208449
train,20208455
train,20208461
train,20208485
train,20208491
train,20208533
train,20208539
train,20208545
train,20208551
train,20208557
train,20208563
train,20208569
train,20208575
train,20208581
train,20208605
train,20208611
train,20208617
train,20208623
train,20208629
train,20208635
train,20208641
train,20208647
train,20208653
train,20208659
train,20208665
train,20208671
train,20208677
train,20208683
train,20208689
train,20208737
train,20210295
train,20210301
train,20210307
train,20210313
train,20210319
train,20210649
train,20210655
train,20210661
train,20210667
train,20210673
train,20210679
train,20211093
train,20211099
train,20211225
train,20211741
train,20211747
train,20211753
train,20211759
train,20211765
train,20211771
train,20211777
train,20212677
train,20212683
train,20212689
train,20212695
train,20212701
train,20213115
train,20213121
train,20213127
train,20213133
train,20213139
train,20213145
train,20213151
train,20213157
train,20213163
train,20213169
train,20213175
train,20213511
train,20213517
train,20213523
train,20213529
train,20213535
train,20213541
train,20213547
train,20213619
train,20213625
train,20213667
train,20213673
train,20213679
train,20213685
train,20213691
train,20213697
train,20213703
train,20213709
train,20213715
train,20213721
train,20213727
train,20213733
train,20213739
train,20213745
train,20213751
train,20213811
train,20213817
train,20213823
train,20213829
train,20213835
train,20213841
train,20214087
train,20214093
train,20214099
train,20214429
train,20214435
train,20214441
train,20214447
train,20214507
train,20214513
train,20214519
train,20214525
train,20214531
train,20214537
train,20214651
train,20214657
train,20214663
train,20214669
train,20214675
train,20214681
train,20214687
train,20214693
train,20214699
train,20214705
train,20214711
train,20214717
train,20214723
train,20214729
train,20214759
train,20214765
train,20214771
train,20214777
train,20214783
train,20214789
train,20214795
train,20214801
train,20214807
train,20214813
train,20214897
train,20214903
train,20214909
train,20214915
train,20214921
train,20214927
train,20214933
train,20214939
train,20214945
train,20214957
train,20214963
train,20214969
train,20214975
train,20214981
train,20214987
train,20214993
train,20214999
train,20215005
train,20215011
train,20215017
train,20215023
train,20215113
train,20215119
train,20215125
train,20215131
train,20215137
train,20215143
train,20215149
train,20215155
train,20215161
train,20215167
train,20215215
train,20215221
train,20215227
train,20215233
train,20215239
train,20215245
train,20215251
train,20215257
train,20215263
train,20215269
train,20215275
train,20215317
train,20215323
train,20215329
train,20215335
train,20215341
train,20215347
train,20215353
train,20215359
train,20215437
train,20215443
train,20215449
train,20215455
train,20215461
train,20215467
train,20215473
train,20215479
train,20215485
train,20215491
train,20215497
train,20215503
train,20215509
train,20215515
train,20215521
train,20215527
train,20215533
train,20215539
train,20215545
train,20215551
train,20215557
train,20215563
train,20215569
train,20215623
train,20215701
train,20215707
train,20215713
train,20215719
train,20215725
train,20215731
train,20215737
train,20215743
train,20215749
train,20215755
train,20215761
train,20215767
train,20215773
train,20215779
train,20215785
train,20215791
train,20215797
train,20215803
train,20215809
train,20215815
train,20215821
train,20215827
train,20215833
train,20215839
train,20215845
train,20215851
train,20215857
train,20215863
train,20215869
train,20215875
train,20215881
train,20215887
train,20215893
train,20215899
train,20215905
train,20216043
train,20216049
train,20216055
train,20216061
train,20216067
train,20216073
train,20216079
train,20216085
